PassengerId,Survived,Probability
892,0,0.10923264237164734
893,0,0.3769488851633985
894,0,0.0895351463447391
895,0,0.10560471630377435
896,1,0.5830220917161678
897,0,0.16090336841798383
898,1,0.6930126078148807
899,0,0.15567580052078753
900,1,0.7894963885488149
901,0,0.0712693378539718
902,0,0.096199855451297
903,0,0.23535062700442505
904,1,0.9501074132124508
905,0,0.04913012783626128
906,1,0.6756910335737436
907,1,0.8352368437376562
908,0,0.21329863742176472
909,0,0.1770790041897082
910,1,0.5606489987219189
911,1,0.5793765304962947
912,0,0.20848526979821935
913,0,0.16671752966496875
914,1,0.9002443405057755
915,1,0.5461450671278699
916,1,0.9573449146214347
917,0,0.03470950903588844
918,1,0.9712894490131925
919,0,0.16911507683920762
920,0,0.4138641159746136
921,0,0.0746513683266473
922,0,0.07722765786527534
923,0,0.13547920686433562
924,0,0.46293177984254474
925,0,0.4968553057006829
926,0,0.34717926136792804
927,0,0.19100419319703807
928,1,0.6241934262782903
929,1,0.696986248055777
930,0,0.11321511975793405
931,0,0.11796726898181151
932,0,0.0919931130759419
933,1,0.5131647800008835
934,0,0.06539728183251663
935,1,0.7875528528583788
936,1,0.8798410228510694
937,0,0.11247425192046466
938,0,0.47107671520295
939,0,0.12776456065248562
940,1,0.9083343091987387
941,1,0.5203207270303063
942,1,0.5145302327534395
943,0,0.28263859320019713
944,1,0.7083417471820196
945,1,0.8254746864296499
946,0,0.2632821350234551
947,0,0.06557337874639033
948,0,0.08040663128439013
949,0,0.11181619512771702
950,0,0.07144072596682051
951,1,0.9830131499878133
952,0,0.14565891790845245
953,0,0.18116833958272757
954,0,0.14101970802925434
955,1,0.7524047895419376
956,1,0.8044088981010425
957,1,0.7955953966174735
958,1,0.7791289672826662
959,0,0.24261788498218936
960,1,0.598229541901008
961,1,0.7034578067062888
962,1,0.7383479902360732
963,0,0.12814545644045866
964,1,0.6301206784295457
965,1,0.6193999917903329
966,1,0.9792904508435811
967,1,0.7689048905300322
968,0,0.09626286974334906
969,1,0.8887022604223253
970,0,0.19207173820223564
971,1,0.7383479902360732
972,0,0.19468824359727654
973,0,0.31498001849714746
974,0,0.21591437442910555
975,0,0.096199855451297
976,0,0.2467140633301379
977,0,0.10081922880083224
978,1,0.7164076546962674
979,1,0.7193833474838591
980,1,0.6955024281392124
981,0,0.3039431930838022
982,1,0.6123885601032559
983,0,0.09615051591996343
984,1,0.7166185824608422
985,0,0.09626286974334906
986,0,0.49626777587210863
987,0,0.1124136655109622
988,0,0.3770580264209901
989,0,0.09849080786087813
990,1,0.7039727121674942
991,0,0.08612347223897668
992,1,0.9215094180426868
993,0,0.16419226620244584
994,0,0.12776456065248562
995,0,0.10875550835172795
996,1,0.7159395894229954
997,0,0.1082823810335496
998,0,0.16828739959685257
999,0,0.12776456065248562
1000,0,0.09653402212628422
1001,0,0.40461272948938093
1002,0,0.18988919246456756
1003,1,0.695531484049512
1004,1,0.951395092906662
1005,1,0.7754331633034
1006,1,0.8926688318424187
1007,0,0.14752630633190258
1008,0,0.1343900202910241
1009,0,0.49841995323908495
1010,1,0.606363543076795
1011,1,0.7398683017668524
1012,1,0.8798415868412304
1013,0,0.09245633081182097
1014,1,0.9410700459552966
1015,0,0.10154448561147085
1016,0,0.12776456065248562
1017,1,0.7113055211149335
1018,0,0.12400647361446895
1019,1,0.5430262287576646
1020,0,0.13218389292288799
1021,0,0.11629148678217768
1022,0,0.08908853721794101
1023,0,0.39693593534765353
1024,1,0.532663905622072
1025,0,0.09745539462849015
1026,0,0.06101827858009326
1027,0,0.11619697256692964
1028,0,0.14927410894411017
1029,0,0.21615585225828757
1030,1,0.6804656605850102
1031,0,0.02960493532185943
1032,0,0.3488433808246273
1033,1,0.9334358726747127
1034,0,0.4705082196191083
1035,0,0.21394229212415616
1036,0,0.2635956899898771
1037,0,0.034543909211230434
1038,0,0.2567021238373843
1039,0,0.12413628017171796
1040,0,0.3610016925046428
1041,0,0.13549165483487996
1042,1,0.9778359913356363
1043,0,0.13518912670166855
1044,0,0.03666330028992394
1045,1,0.5159605563113129
1046,0,0.03946720288237865
1047,0,0.11605026515720536
1048,1,0.9768599634140507
1049,1,0.6802655871999499
1050,0,0.4004303275535078
1051,1,0.6088134671303409
1052,1,0.6954858098459794
1053,0,0.18893756789731586
1054,1,0.8116825815209762
